dataset,context,exp_method,comprehensiveness,sufficiency
yu22,True,LIME,0.1212572157382965,0.887991189956665
yu22,True,LIME,0.2852760255336761,0.8904028832912445
yu22,True,LIME,0.5259262919425964,0.40826016664505
yu22,True,LIME,0.842060387134552,0.8871054351329803
yu22,True,SHAP,0.8887226283550262,-0.0146930515766143
yu22,True,SHAP,0.8887226283550262,-0.0146930515766143
yu22,True,SHAP,0.7592284679412842,-0.1710001826286316
yu22,True,SHAP,0.8210180401802063,-0.1777049899101257
yu22,True,SHAP,0.6064822971820831,-0.0404312908649444
yu22,True,SHAP,0.6064822971820831,-0.0404312908649444
yu22,True,SHAP,0.8210180401802063,-0.1777049899101257
yu22,True,SHAP,0.7212162017822266,-0.2775068283081054
yu22,True,SHAP,0.7212162017822266,-0.2775068283081054
yu22,True,SHAP,0.7592284679412842,-0.1710001826286316
yu22,True,SHAP,0.8210180401802063,-0.1777049899101257
yu22,True,SHAP,0.5924251526594162,-0.1770572960376739
yu22,True,SHAP,0.820815235376358,-0.178195983171463
yu22,True,SHAP,0.4841597378253937,-0.0376503765583038
yu22,True,SHAP,0.9056161642074584,-0.093591570854187
yu22,True,LIME,0.5767569839954376,0.4062356948852539
yu22,True,LIME,0.5767569839954376,0.4062315821647644
yu22,True,LIME,0.5767569839954376,0.406268298625946
yu22,True,LIME,0.6299000084400177,0.4064314067363739
yu22,True,SHAP,0.4938856959342956,0.4698204100131988
yu22,True,SHAP,0.5011472702026367,-0.0060870051383972
yu22,True,SHAP,0.9056161642074584,-0.093591570854187
yu22,True,SHAP,0.8210180401802063,-0.1777049899101257
yu22,True,SHAP,0.8893623352050781,-0.1019298136234283
yu22,True,SHAP,0.9056161642074584,-0.093591570854187
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.8211280405521393,-0.1456131339073181
yu22,True,SHAP,0.8211280405521393,-0.1456131339073181
yu22,True,SHAP,0.7014633417129517,-0.0923335552215576
yu22,True,SHAP,0.8211280405521393,-0.1456131339073181
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.9896660149097444,0.4912848472595215
yu22,True,SHAP,0.7891289591789246,0.3897329092025757
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.993146389722824,0.480362057685852
yu22,True,SHAP,0.985278069972992,0.493454247713089
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.5975536227226257,0.1088853240013122
yu22,True,LIME,0.9932549893856047,0.4934675395488739
yu22,True,LIME,0.990685760974884,0.4933140575885772
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,SHAP,0.4942172169685364,-0.0059321522712707
yu22,True,LIME,0.9903906285762788,0.4932933449745178
yu22,True,LIME,0.6595775262305611,0.1386251790899979
yu22,True,SHAP,0.4942173063755035,-0.0059320628643035
yu22,False,LIME,0.4058916516053049,-0.0752814248988502
yu22,False,SHAP,0.387886105807204,-0.09788011397186079
