context,seed,accuracy,precision,recall,f1
yu22,True,1022,0.5987394957983193,0.5989937240511605,0.5987394957983193,0.5944400277428471
yu22,True,20,0.5714285714285714,0.5715884479040919,0.5714285714285714,0.5697617223185926
yu22,True,45,0.5840336134453782,0.5654079163363063,0.5840336134453782,0.556621635152688
yu22,True,200,0.5882352941176471,0.5907227422717739,0.5882352941176471,0.5893649506023733
yu22,True,349,0.6008403361344538,0.5876216394776946,0.6008403361344538,0.588513525943363
yu22,False,20,0.5504201680672269,0.567765536861147,0.5504201680672269,0.5559868732999739
yu22,False,45,0.569327731092437,0.5501573715511149,0.569327731092437,0.5527362913749405
yu22,False,349,0.5714285714285714,0.5743008741958322,0.5714285714285714,0.564430125571682
yu22,False,200,0.5651260504201681,0.5575880642954857,0.5651260504201681,0.5591747652841527
yu22,False,1022,0.5987394957983193,0.5885545704690903,0.5987394957983193,0.5914768128029964
